eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes
20210005,USFS,AZ,7000,2021,web_imputed,https://resolutioncopper.com/land-exchange/,Resolution Copper Project and Land Exchange,resolutioncopper.com,2021,NA,Pre-construction $500M; ultimate mine capex not disclosed. Tier-1 underground copper mine. $1B/yr operating economic contribution.,low,TRUE,Tier-1-copper-mine-capex (~$7B based on similar Rio Tinto/BHP underground copper),Rio Tinto/BHP JV. Underground mine beneath Oak Flat. EIS for land exchange enabling mine development.
20210008,BLM,CA,550,2021,web,https://californiaglobe.com/articles/department-of-interior-approves-massive-550-million-riverside-county-solar-power-project/,Department of Interior Approves Massive $550 million Riverside County Solar Power Project,californiaglobe.com,2021,NA,The Crimson Solar Project represents an investment of roughly $550 million.,high,FALSE,NA,350 MW PV + 350 MW BESS (1400 MWh). Recurrent Energy.
20210009,FTA,PA,3000,2023,web,https://billypenn.com/2023/03/17/septa-pulls-the-plug-on-kop-rail-pausing-the-3b-project-over-fta-concerns/,SEPTA pulls the plug on KOP Rail,billypenn.com,2023-03-17,NA,the latest projection was $3.02 billion.,high,FALSE,NA,SEPTA King of Prussia Rail Extension. EIS completed 2021; project paused 2023.
20210018,BLM,CA,0,2021,duplicate_of_other_eis,NA,NA,NA,NA,NA,Duplicate of Crimson Solar EIS (20210008) <e2><80><94> appears twice in NOA stream.,high,FALSE,NA,Same project as 20210008. Counted under that record.
20210027,USACE,NE,180,2024,web,https://omaha.com/news/local/its-an-expressway-u-s-275-is-now-four-lanes-from-omaha-to-west-point/article_b416bfc0-9c86-11ef-a84e-13c3e139e530.html,It's an expressway! U.S. 275 is now four lanes from Omaha to West Point,omaha.com,2024,NA,A 20-mile stretch of Highway 275 from Scribner to West Point cost around $180 million.,high,FALSE,NA,Nebraska DOT 4-lane expansion. USACE 404 permit lead.
20210028,BOEM,MA,3000,2021,web,https://www.iberdrola.com/about-us/power/offshore-wind-energy/vineyard-wind-offshore-wind-farm,Vineyard Wind I,iberdrola.com,2021,NA,The USD 3 billion project is expected to start full operation by the end of 2025.,high,FALSE,NA,800 MW. First US commercial-scale offshore wind. Avangrid+CIP. Final cost was $4.5B with overruns.
20210030,USAF,SD,1000,2021,web,https://listen.sdpb.org/business-economics/2022-03-15/ellsworth-air-force-base-begins-construction-for-b-21-bomber-plane,Ellsworth Air Force Base begins construction for B-21 bomber plane,listen.sdpb.org,2022,NA,estimated construction spending of more than $1 billion.,medium,FALSE,NA,B-21 MOB 1 selected Ellsworth (SD). EIS title mentions Dyess (TX) as alternative; ROD chose Ellsworth.
20210031,FAA,NY,2400,2023,web,https://en.wikipedia.org/wiki/AirTrain_LaGuardia,AirTrain LaGuardia,wikipedia.org,2023,NA,the project's budget had increased to $2.4 billion.,high,FALSE,NA,Cancelled in March 2023. PANYNJ 1.5-mile elevated AirTrain. Started at $450M.
20210036,BR,WA,50,2021,sector_impute_pending,NA,NA,NA,NA,NA,Leavenworth NFH Surface Water Intake Fish Screens & Fish Passage. Rehab 80-year-old intake. Cost not surfaced.,low,TRUE,Fish-hatchery-intake-rehab-typical (~$50M),Bureau of Reclamation + USFWS joint ROD April 2021.
20210039,USFS,AZ,30,2021,web,https://capstonecopper.com/news/capstones-pinto-valley-mine-gets-usfs-approval-extends-operations-to-2039/,Capstone's Pinto Valley Mine Receives New US Forest Service Mine Plan of Operations,capstonecopper.com,2021,NA,"Capstone Mining announced a 10-percent expansion of the Pinto Valley open pit mine, with the project costing about $30 million.",medium,FALSE,NA,10% expansion of existing copper mine. Capstone Resources/Copper. Mine life to 2039.
20210040,FTA,TX,1700,2021,web,https://www.wfaa.com/article/news/local/dart-d2-dallas-city-council-subway-downtown-light-rail/287-8e346d39-aa78-4888-90d4-6d5d55682746,Dallas City Council gives DART green light for federal funding on $1.7 billion downtown Dallas subway,wfaa.com,2021,NA,Dallas council backs federal funding for $1.7 billion downtown subway.,high,FALSE,NA,DART D2 Subway. 2.4-mile expansion through downtown. Removed from DART 20-yr plan in 2023.
20210043,FRA,OR,950,2021,web,https://railroads.dot.gov/sites/fra.dot.gov/files/2021-04/OPR%20CIP%20Tier%201%20FEIS_AppA-1_DEIS.pdf,Oregon Passenger Rail Tier 1 FEIS,railroads.dot.gov,2021-04,NA,"Alternative 1, the preferred alternative, would include anywhere from $870 to $1,025 million in capital costs.",medium,FALSE,NA,Pacific Northwest Rail Corridor <e2><80><94> Eugene to Portland. ODOT-led Tier 1 EIS. Phased implementation planned.
20210046,USACE,CA,100,2021,sector_impute_pending,NA,NA,NA,NA,NA,"Reclamation District 17 Levee Seepage Phase 3. Cutoff walls, DSM walls, seepage berms over 19 miles of levees.",low,TRUE,USACE-major-levee-rehab (~$100M),Sacramento Delta levee improvements (Mossdale Tract). 200-year flood protection target.
20210055,FAA,CA,1200,2024,web,https://elevatebur.com/the-agreement/about-project-faq/,BUR Replacement Terminal FAQ,elevatebur.com,2024,NA,Guaranteed Maximum Price $1.11B; estimated total project cost ~$1.2B. BGPA approved GMP in 2024.,high,FALSE,NA,355K sf 14-gate terminal. CORRECTED 2026-06-01 (spot-check): was $1.3B with stale quote; published GMP $1.11B + financing/contingency ~$1.2B total.
20210062,TREAS,MD,1400,2022,web,https://www.constructionequipmentguide.com/treasury-department-to-build-14b-facility-in-maryland-to-print-us-currency/56509,Treasury Department to Build $1.4B Facility to Print U.S. Currency,constructionequipmentguide.com,2022,NA,The new $1.4 billion facility will be on the campus of the former Beltsville Agricultural Research Center.,high,FALSE,NA,Bureau of Engraving & Printing currency production facility. 920K sf on 104 acres.
