eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes
20160001,FHWA,CO,1300,2018,web_imputed,NA,NA,NA,NA,NA,I-70 East (Central 70) Denver. CDOT design-build. ~$1.3B project (10-mi widening + lowered freeway).,high,FALSE,NA,Denver. CDOT. Kiewit Meridiam Partners. Opened 2022.
20160010,FHWA,UT,80,2016,sector_impute_pending,NA,NA,NA,NA,NA,1800 North (SR-37) Project. UDOT corridor widening Davis County.,low,TRUE,Suburban-arterial-widening (~$80M),Davis County UT. UDOT.
20160012,FHWA,LA,1500,2016,sector_impute_pending,NA,NA,NA,NA,NA,Baton Rouge Loop Tier 1. New ~30-mi outer beltway program. Tier 1 selected corridor preserved.,low,TRUE,New-beltway-program (~$1.5B Tier 1 scale),Baton Rouge LA. DOTD + Capital Area Expressway Authority.
20160016,FHWA,TX,400,2016,sector_impute_pending,NA,NA,NA,NA,NA,SH 249 Extension TX. New 38-mi toll segment Pinehurst-Navasota. TxDOT.,medium,TRUE,New-rural-tollway (~$400M),Houston-area TX. TxDOT.
20160028,FHWA,WI,1200,2016,sector_impute_pending,NA,NA,NA,NA,NA,I-94 East-West Corridor (70th-16th) Milwaukee. WisDOT 3.5-mi urban interstate reconstruction.,medium,TRUE,Urban-interstate-recon (~$1.2B),Milwaukee WI. WisDOT. Construction late 2024.
20160029,BPA,WA,400,2016,sector_impute_pending,NA,NA,NA,NA,NA,I-5 Corridor Reinforcement transmission. BPA 500kV ~75-mi WA-OR. Project paused 2017.,low,TRUE,500kV-transmission-mid (~$400M),BPA. Paused/cancelled mid-2017 but FEIS issued.
20160041,FTA,NC,2400,2016,web_imputed,NA,NA,NA,NA,NA,Durham-Orange Light Rail. 17.7-mi LRT GoTriangle. Cost estimate $2.4B. Cancelled March 2019 but FEIS issued.,high,FALSE,NA,Durham-Chapel Hill NC. GoTriangle. Cancelled 2019.
20160045,TVA,TN,0,2016,reclassified_to_ii,NA,NA,NA,NA,NA,TVA Floating Houses Policy Review EIS. Operational policy on existing structures. No construction.,high,FALSE,NA,"RECLASSIFY (ii). Policy review, not capex."
20160048,USAF,AK,550,2016,sector_impute_pending,NA,NA,NA,NA,NA,F-35A Operational Beddown Pacific (Eielson AFB). 54 aircraft beddown MILCON.,low,TRUE,F-35-beddown-MILCON (~$550M),Eielson AFB AK. USAF.
20160049,DOE,NM,0,2016,reclassified_to_ii,NA,NA,NA,NA,NA,Disposal of GTCC Low-Level Radioactive Waste PEIS. Programmatic <e2><80><94> no specific facility authorized.,high,FALSE,NA,RECLASSIFY (ii). Programmatic.
20160066,BOP,KY,510,2016,web_imputed,NA,NA,NA,NA,NA,Letcher County USP. $510M BOP federal prison project. Cancelled by BOP 2019 but FEIS issued.,medium,FALSE,NA,Letcher County KY. BOP. Surface mine reclamation site.
