eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes,naics_code,naics_label,naics_reason,title
20200000,HCIDLA,CA,110,2023,web,https://www.hacla.org/en/news/hacla-and-related-california-open-first-phase-redevelopment-rose-hill-courts-public-housing,Rose Hill Courts Redevelopment,hacla.org,2023,NA,Phase I $54M (bonds + equity + state) + Phase II $58M = ~$112M total.,medium,FALSE,NA,HACLA + Related California. 185 units replacement. 1942 public housing complex.,999,Unclassified,no rule matched,Rose Hill Courts Redevelopment Project
20200005,USN,NV,100,2020,sector_impute_pending,NA,NA,NA,NA,NA,Fallon Range Training Complex Modernization. Land withdrawal + training infrastructure. No capex disclosed.,low,TRUE,Navy-range-training-infrastructure (~$100M),NDAA FY2021 extended withdrawal but did not include modernization. Land withdrawal action.,236,Construction of buildings,federal construction / military beddown,Fallon Range Training Complex Modernization
20200007,USACE,MS,50,2020,sector_impute_pending,NA,NA,NA,NA,NA,Bayou Casotte Harbor Channel Improvement. ROD signed Aug 2020. Cost not surfaced; impute small port channel.,low,TRUE,Small-port-channel-improvement (~$50M),Pascagoula MS port. Channel improvement.,488,Support activities for water transportation,water transportation infrastructure,Bayou Casotte Harbor Channel Improvement Project
20200009,BLM,CA,1000,2020,web,https://www.blm.gov/press-release/blm-approves-haiwee-geothermal-leasing-area,BLM approves Haiwee Geothermal Leasing Area,blm.gov,2020,NA,supports $1 billion in investments; $72 million annually during peak construction.,high,FALSE,NA,"Haiwee Geothermal Leasing Area. ~4,460 acres. ~117K homes.",2211,Electric power generation/transmission/distribution,electricity generation / transmission,Haiwee Geothermal Leasing Area
20200022,BIA,CA,500,2020,web_imputed,https://www.federalregister.gov/documents/2020/02/10/2020-02669/final-environmental-impact-statement-for-the-proposed-campo-wind-energy-project-san-diego-california,Final EIS for Campo Wind Energy Project,federalregister.gov,2020-02-10,NA,252 MW capacity. Up to 60 turbines @ 4.2 MW. Cost not stated.,low,TRUE,Wind-capex (~$2M/MW <c3><97> 252 MW),Campo Wind + Boulder Brush. Terra-Gen developer. BIA + County of SD.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,Final Environmental Impact Statement for the Campo Wind Project with Boulder Brush Facilities
20200023,FERC,CA,20,2022,sector_impute_pending,NA,NA,NA,NA,NA,"Bucks Creek Hydroelectric (84.8 MW) FERC relicensing. Existing facility, no new construction. License upgrades only.",low,TRUE,Hydro-relicensing-upgrades (~$20M),PG&E + City of Santa Clara. 40-year license to 2062.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,Bucks Creek Hydropower Project
20200024,FHWA,NC,1800,2026,web,https://changeflow.com/govping/transportation/1-8b-i-26-connector-breaks-ground-asheville-2026-04-25,NCDOT Breaks Ground on $1.8B I-26 Connector,changeflow.com,2026,NA,The entire project is estimated at $1.8 billion.,high,FALSE,NA,"I-26 Asheville Connector, 7 miles. Full project up to $2.1B per STIP.",237310,"Highway, street, and bridge construction",highway / bridge / interstate,I-26 Asheville Connector
20200026,USACE,TX,1000,2025,web,https://www.businesswire.com/news/home/20250618441353/en/Houston-Ship-Channel-Expansion-Project-11-Funded-to-Completion,Houston Ship Channel Expansion <e2><80><93> Project 11 Funded to Completion,businesswire.com,2025-06-18,NA,Multi-year USACE Project 11. FY26 allocations: $161M USACE + $53.6M O&M + prior years. Rough total ~$1B.,medium,FALSE,NA,Widening 170 ft along Galveston Bay reach. Complete 2029.,488,Support activities for water transportation,water transportation infrastructure,Houston Ship Channel Expansion Channel Improvement Project
20200038,FRA,MS,25,2024,web,https://www.irpt.net/hcphc-receives-7-32-million-funding-for-port-bienville-intermodal-expansion-project-phase-1/,HCPHC Port Bienville Intermodal Expansion,irpt.net,2024,NA,total project cost of $25.4 million.,high,FALSE,NA,Hancock County Port. 7-track classification yard + Phase 2 intermodal yard.,482,Rail transportation,"rail (FRA, Amtrak, freight)","Port Bienville Railroad Combined Final Environmental Impact Statement and Record of Decision, Contact: Kevin Wright 202-493-0845 Under 23 U.S.C. 139(n)(2), FRA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Dated: February 10, 2020. Cindy S. Barger, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2020-03027 Filed 2-13-20; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20200039,DOE,OR,0,2020,duplicate_of_other_eis,NA,NA,NA,NA,NA,"DOE adoption of FERC Jordan Cove Energy Project EIS (20190276, $10B).",high,FALSE,NA,CORRECTED 2026-06-01 (dup_sweep): primary FERC EIS is at 20190276 (2019 panel). Was erroneously counted $6B here as separate.,9281,National security,national security default,"ADOPTION--Jordan Cove Energy Project, Contact: Brian Lavoie 202-586-2459. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
