eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes
20160322,FRA,AZ,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Arizona Passenger Rail Corridor Tucson-Phoenix Tier 1. Service-level planning study only.,high,FALSE,NA,RECLASSIFY (ii). Tier 1 planning EIS.
20160326,FERC,PA,3000,2017,web,https://www.williams.com/2017/09/18/atlantic-sunrise-project-breaks-ground-in-pennsylvania/,Atlantic Sunrise breaks ground in Pennsylvania,williams.com,2017,NA,Nearly $3 billion expansion of Transco. 1.7 Bcf/d. In service Oct 2018.,high,FALSE,NA,Williams/Transco. PA + neighboring states.
20170010,USFS,ID,15,2017,sector_impute_pending,NA,NA,NA,NA,NA,Lookout Pass Ski Area Expansion. Modest small-resort expansion + new lift.,low,TRUE,Small-ski-resort-expansion (~$15M),Idaho Panhandle NF ID/MT.
20170012,TVA,TN,100,2017,sector_impute_pending,https://www.tva.com/environment/environmental-stewardship/coal-combustion-residuals/bull-run,TVA Bull Run CCR,tva.com,2017,NA,New CCR landfill at Bull Run Anderson County TN. Cost not disclosed; TVA CCR landfill program impute.,low,TRUE,TVA-CCR-landfill (~$100M),Bull Run Fossil Plant. Closed 2023.
20170013,NPS,CA,50,2017,sector_impute_pending,NA,NA,NA,NA,NA,Alcatraz Ferry Embarkation. New terminal at Pier 31.5 SF. Mid-size waterfront facility.,low,TRUE,Ferry-terminal-mid (~$50M),San Francisco. NPS + Hornblower.
20170017,BR,CA,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,"Long-Term Plan to Protect Adult Salmon in Lower Klamath River. Operational flow management plan, no construction.",high,FALSE,NA,RECLASSIFY (ii). Operational flow management.
20170018,DOE,LA,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Golden Pass LNG Export Project EIS (20160180).,high,FALSE,NA,Adoption <e2><80><94> primary EIS FERC.
20170044,USFS,CO,50,2017,sector_impute_pending,NA,NA,NA,NA,NA,Snowmass Multi-Season Recreation Projects. Aspen Snowmass year-round expansion. Mid-size resort capex.,low,TRUE,Mid-size-resort-multi-season-expansion (~$50M),White River NF CO. Aspen Skiing Co.
20170053,USAF,NC,200,2017,sector_impute_pending,NA,NA,NA,NA,NA,KC-46A Third Main Operating Base Beddown (Seymour Johnson AFB NC). Standard tanker beddown MILCON.,low,TRUE,KC-46A-beddown-MILCON (~$200M),Seymour Johnson AFB NC. USAF tanker recap program.
20170055,FERC,PA,1200,2017,web_imputed,NA,NA,NA,NA,NA,PennEast Pipeline. 116-mi PA-NJ. UGI Energy. Estimated ~$1.2B at announcement. Cancelled Sept 2021.,medium,TRUE,Mid-stream-pipeline (~$1.2B),UGI Energy / NJR / SJI. Cancelled 2021 but FEIS issued <e2><80><94> exposure attributable.
20170059,USACE,NY,200,2017,sector_impute_pending,NA,NA,NA,NA,NA,Mamaroneck and Sheldrake Rivers Flood Risk Management. USACE channel modifications + flood walls.,low,TRUE,Urban-flood-risk-channel (~$200M),Westchester County NY. USACE NY District.
20130360,USFS,AZ,1900,2017,web,https://www.constructiondive.com/news/arizona-court-stops-1b-rosemont-copper-mine-construction/560105/,Arizona court stops $1B Rosemont copper mine construction,constructiondive.com,2019,NA,$1.9 billion Rosemont Copper project on $3.00/lb Cu price assumption (Hudbay).,high,FALSE,NA,Coronado NF AZ. Hudbay Minerals. ROD vacated 2019; project paused but EIS exposure attributable.
20170085,NRC,MO,115,2017,web_imputed,NA,NA,NA,NA,NA,Northwest Medical Isotopes Radioisotope Production Facility (Columbia MO). University-affiliated Mo-99 production. Mid-size medical isotope facility.,low,TRUE,Medical-isotope-production-facility (~$115M),University of Missouri area. NWMI.
20170088,USACE,HI,345,2017,web_imputed,NA,NA,NA,NA,NA,Ala Wai Canal Flood Risk Management Project. USACE 2017 estimated total ~$345M federal share.,medium,TRUE,USACE-flood-risk-major (~$345M),Honolulu HI. USACE Honolulu District.
20170096,USACE,MS,570,2017,web_imputed,NA,NA,NA,NA,NA,Port of Gulfport Expansion. Multi-phase port deepening + restoration. Estimated total ~$570M.,low,TRUE,Port-expansion-major (~$570M),Gulfport MS. MS State Port Authority.
20170098,HUD,CA,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,HUD adoption of FTA Transbay Terminal / Caltrain DTX EIS. Underlying project led by TJPA + FTA.,high,FALSE,NA,Adoption <e2><80><94> primary FTA (not in our (i) set).
20170113,FERC,WV,7850,2017,web,https://www.utilitydive.com/news/mountain-valley-pipeline-construction-complete/718724/,$7.85B Mountain Valley Pipeline construction complete,utilitydive.com,2024,NA,Final cost $7.85 billion. Originally $3.5B at 2014 announcement. In service 2024.,high,FALSE,NA,MVP. 303-mi WV-VA. Equitrans + NextEra + Con Edison + WGL + RGC.
20170115,USFS,WV,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,USFS adoption of FERC Mountain Valley Pipeline EIS (20170113).,high,FALSE,NA,Adoption <e2><80><94> primary EIS FERC.
20170130,FHWA,UT,750,2024,web,https://www.alliant-inc.com/projects/west-davis-corridor-design-build/,West Davis Corridor Design-Build,alliant-inc.com,2024,NA,$750M design-build contract for SR-177 / West Davis Corridor 16-mi freeway. Opened Jan 2024.,high,FALSE,NA,Davis County UT. UDOT.
20170134,FHWA,IL,2700,2017,web,https://www.equipmentworld.com/roadbuilding/article/14967779/idots-i-290eisenhower-expressway-expansion-receives-federal-approval,IDOT I-290 Eisenhower expansion gets federal approval,equipmentworld.com,2017,NA,IDOT estimates $2.7B for the I-290 Eisenhower expansion (FHWA CER 2017: $3.2B).,high,FALSE,NA,Chicago. Currently unfunded but ROD issued <e2><80><94> exposure attributable.
20170138,FERC,VA,8000,2020,web,https://www.utilitydive.com/news/duke-dominion-cancel-8b-atlantic-coast-pipeline/581028/,"Duke, Dominion cancel $8B Atlantic Coast Pipeline",utilitydive.com,2020-07-05,NA,$8 billion cost (rose from $4.5-5.0B). Cancelled July 2020.,high,FALSE,NA,ACP. WV-VA-NC. Dominion + Duke. Cancelled but FEIS issued.
20170139,FHWA,IL,200,2017,sector_impute_pending,NA,NA,NA,NA,NA,US 30 IL 136 to IL 40 Whiteside County. Rural 4-lane expansion ~35 mi.,low,TRUE,Rural-4-lane-expansion (~$6M/mi),Whiteside County IL. IDOT.
20170143,FHWA,UT,80,2017,sector_impute_pending,https://permits.performance.gov/permitting-project/dot-projects/i-80-state-street-interchange,I-80 State Street Interchange Permitting Dashboard,permits.performance.gov,2017,NA,Westbound on-ramp + frontage road + structure widening + auxiliary lane improvements at one urban interchange. Modest-scale interchange project.,low,TRUE,Modest-urban-interchange-improvement (~$80M),South Salt Lake UT. UDOT + FHWA. CORRECTED 2026-06-01 (spot-check): was $400M assuming major interchange recon; actual scope is on/off-ramp + widening only.
20170148,FERC,WV,3200,2019,web,https://www.nsenergybusiness.com/news/transcanada-mountaineer-xpress-pipeline/,TransCanada $3.2bn Mountaineer Xpress pipeline enters full service,nsenergybusiness.com,2019,NA,$3.2 billion cost (rose from $2.06B at filing). 264-mi 36-in WV.,high,FALSE,NA,Columbia Gas Transmission / TC Energy. WV.
20170149,BOEM,LA,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,G&G Activities on the Gulf of Mexico Outer Continental Shelf PEIS. Programmatic for seismic survey permits.,high,FALSE,NA,RECLASSIFY (ii). Programmatic.
20170158,DOE,NH,1600,2017,web_imputed,NA,NA,NA,NA,NA,Northern Pass Transmission Line. 192-mi HVDC from Quebec via NH. Eversource. ~$1.6B project. Cancelled 2019.,high,FALSE,NA,NH Site Evaluation Committee denied permit 2018. Cancelled but FEIS issued.
20170184,FRA,GA,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Atlanta-Chattanooga High Speed Ground Transportation. Tier 1 corridor planning study only.,high,FALSE,NA,RECLASSIFY (ii). Tier 1 planning.
20170194,BLM,NV,80,2017,sector_impute_pending,NA,NA,NA,NA,NA,Gold Bar Mine McEwen Mining. Small-mid Nevada gold mine. ~$80M McEwen capex.,low,TRUE,Small-mid-gold-mine (~$80M),Eureka County NV. McEwen Mining.
20170197,FAA,OR,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,FAA adoption of USAF Oregon Military Training Airspace EIS.,high,FALSE,NA,Adoption.
20170198,USAF,MD,375,2017,web_imputed,NA,NA,NA,NA,NA,Presidential Aircraft Recapitalization Program. VC-25B (new Air Force One) hangar + support facilities at JBA. MILCON estimate.,low,TRUE,Presidential-aircraft-hangar-MILCON (~$375M),Joint Base Andrews MD. USAF.
20170199,FAA,CO,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,FAA adoption of Army Pinon Canyon Maneuver Site EIS.,high,FALSE,NA,Adoption <e2><80><94> primary EIS Army.
20170203,USACE,KS,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Kansas River Commercial Dredging EIS. Permit decision for ongoing commercial sand-and-gravel dredging. Not new construction.,high,FALSE,NA,RECLASSIFY (ii). Commercial-permit renewal.
20170213,FHWA,DE,400,2017,sector_impute_pending,NA,NA,NA,NA,NA,US 113 N/S Study Millsboro-South. DelDOT corridor improvements ~12 mi.,low,TRUE,Rural-arterial-upgrade (~$400M),Sussex County DE. DelDOT.
20170215,FRA,TX,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Texas-Oklahoma Passenger Rail Service-Level FEIS. Tier 1 study only.,high,FALSE,NA,RECLASSIFY (ii). Tier 1 service planning.
20170217,USACE,TX,1600,2017,web,https://www.constructionequipmentguide.com/ntmwd-builds-16b-bois-darc-lake/42934,NTMWD Builds $1.6B Bois d'Arc Lake,constructionequipmentguide.com,2017,NA,Estimated construction cost $1.6 billion for the lake and associated projects.,high,FALSE,NA,Lower Bois d'Arc Creek Reservoir. NTMWD. Fannin County TX. USACE 404 permit.
20170228,FHWA,NY,110,2017,sector_impute_pending,NA,NA,NA,NA,NA,Scajaquada Expressway NY 198 Corridor Project (Buffalo). NYSDOT conversion to boulevard. Mid-size urban project.,low,TRUE,Urban-arterial-conversion (~$110M),Buffalo NY. NYSDOT.
20170237,TVA,KY,200,2017,sector_impute_pending,https://www.tva.com/environment/environmental-stewardship/coal-combustion-residuals/shawnee,TVA Shawnee CCR,tva.com,2017,NA,Shawnee Fossil Plant CCR management. Closure-in-place + new process water basin. Cost not disclosed. TVA CCR sector impute.,low,TRUE,TVA-CCR-landfill-closure (~$200M),Paducah KY. TVA CCR.
20170241,BLM,WV,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,BLM adoption/joint review of FERC Mountain Valley Pipeline + Equitrans Expansion EIS (20170113).,high,FALSE,NA,CORRECTED 2026-06-01 (dup_sweep): not a standalone coal lease. Same project as 20170113 MVP/Equitrans. Was erroneously imputed $50M.
20170247,FHWA,NC,2200,2017,web,https://www.fhwa.dot.gov/ipd/project_profiles/nc_complete_540_phase_1.aspx,FHWA Complete 540 Phase 1 Project Profile,fhwa.dot.gov,2017,NA,Phase 1 $1.3B + Phase 2 ~$1.3B = ~$2.5B total program. 28-mi expressway extension.,high,FALSE,NA,NCDOT/NCTA. Triangle Expressway SE Extension. Raleigh.
