eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes
20230030,BLM,NM,11000,2023,web,https://heatmap.news/economy/sunzia,"The Long, Strange Success Story of America's Biggest Clean Energy Project",heatmap.news,2024,NA,Pattern Energy announced that it had secured $11.5 billion in financing for the line.,high,FALSE,NA,550-mile 3 GW HVDC line + companion wind farm. Combined $11B investment.
20230070,BOEM,NJ,2800,2023,web,https://en.wikipedia.org/wiki/Ocean_Wind_1,Ocean Wind 1,wikipedia.org,2024,NA,The cancellation of Ocean Wind 1 alone resulted in an impairment of around $2.8 billion.,high,FALSE,NA,"Cancelled in Oct 2023. 1,100 MW. Impairment used as cost proxy."
20230087,BOEM,RI,5000,2023,web,https://revolution-wind.com/,Revolution Wind,revolution-wind.com,2024,NA,the project has grown to a $5 billion investment.,high,FALSE,NA,704 MW. Orsted+GIP partnership.
20230092,FERC,LA,28000,2023,web,https://www.world-energy.org/article/52362.html,$28 Billion LNG Export Project Breaks Ground in Louisiana,world-energy.org,2024,NA,"The $28 billion terminal is situated on a 1,150-acre site.",high,FALSE,NA,CP2 LNG export terminal + 87.5-mile CP Gas Pipeline. 24 mtpa LNG capacity.
20230120,BOEM,NY,5000,2023,web,https://www.utilitydive.com/news/equinor-empire-wind-offshore-wind-northeast/736377/,Equinor secures $3B for Empire Wind 1 offshore wind farm,utilitydive.com,2024,NA,Equinor expects capital investments in Empire Wind 1 to total around $5 billion.,high,FALSE,NA,NA
20230128,BOEM,VA,11500,2023,web,https://en.wikipedia.org/wiki/Coastal_Virginia_Offshore_Wind,Coastal Virginia Offshore Wind,wikipedia.org,2024,NA,CVOW started with a price tag of $9.8 billion and the cost has risen to $11.5 billion.,high,FALSE,NA,"2,600 MW; Dominion Energy. RoD Oct 30, 2023."
20230150,BR,CA,6600,2024,web,https://www.constructionowners.com/news/federal-approval-clears-path-for-californias-largest-new-reservoir,Trump Administration Approves Sites Reservoir,constructionowners.com,2025,NA,The project is now projected to cost $6.4 billion to $6.8 billion.,high,FALSE,NA,1.5 million acre-feet capacity.
20230027,FRA,NY,16000,2023,web,https://www.constructiondive.com/news/gateway-program-construction-begin/700363/,$16B Gateway Program construction finally underway,constructiondive.com,2023,NA,currently projected cost of the Hudson Tunnel Project is estimated at $16 billion.,medium,FALSE,NA,FRA NY High-Speed-Rail record likely Gateway/Hudson Tunnel.
20230083,FERC,TN,225,2023,web_imputed,https://www.utilitydive.com/news/ferc-tva-tennessee-valley-gas-pipeline-cumberland-coal/705003/,FERC approves gas pipeline needed for TVA Cumberland plan,utilitydive.com,2024-01-18,NA,Kinder Morgan ~32-mi 30-in pipeline to TVA Cumberland. Standard ~$7M/mi for 30-in pipeline <e2><89><88> ~$225M.,medium,TRUE,Mid-stream-pipeline (~$7M/mi for 32 mi),"CORRECTED 2026-06-01: this FERC record is the Kinder Morgan pipeline only (~$225M). The TVA 1,450 MW plant ($2.1B) is correctly attributed at 20220181 (Cumberland Fossil Plant Retirement EIS, TVA lead). Prior $2.1B here was a mis-join."
20230033,FHWA,LA,2000,2023,web,https://lafayetteconnector.com/,I-49 Lafayette Connector,lafayetteconnector.com,2023,NA,The $2 billion project was referenced in more recent reporting.,medium,FALSE,NA,5.5-mile elevated I-49 connector through downtown Lafayette.
20230008,FERC,IL,1300,2023,web,https://construction-today.com/news/venture-globals-15b-cp2-lng-project-begins-construction-in-louisiana/,CPV Three Rivers Combined-Cycle Energy Center,nsenergybusiness.com,2023,NA,"The $1.3 billion project, managed by CPV and co-owned along with Osaka Gas USA, Concord Infrastructure Investments, Harrison Street and Axium Infrastructure.",high,FALSE,NA,"1,250 MW combined-cycle. The FERC EIS is for the 2.9-mile Alliance Pipeline interconnect to the plant; cost reflects entire energy center."
20230011,FERC,PA,200,2023,sector_impute_pending,NA,NA,NA,NA,NA,Valley Connection pipeline (Williams or similar)<e2><80><94>no specific cost surfaced; mid-size FERC interstate pipeline expansion ~$200M.,low,TRUE,FERC-pipeline-expansion-median (~$200M for 20-40 mile expansion),NA
20230013,USAF,AR,1200,2023,web,https://www.fmsptceis.com/,Ebbing FMS PTC SEIS,fmsptceis.com,2023,NA,The estimated total cost to complete the training center is $1.2 billion.,high,FALSE,NA,F-35 Foreign Military Sales Pilot Training Center beddown at Ebbing ANG.
20230023,DOD,AK,200,2025,web_imputed,https://www.airandspaceforces.com/air-force-microreactor-eielson-alaska/,Air Force Moves Ahead with Military's First Microreactor,airandspaceforces.com,2025,NA,Pentagon would not say how much the microreactor will cost; structured as power purchase agreement with Oklo. Typical 5-10 MW microreactor capex ~$100-300M.,low,TRUE,Microreactor-typical-cost (5 MW @ $40M/MW),"Eielson AFB microreactor. PPA structure: Oklo builds/owns, AF buys power. Capex not on Air Force books."
