eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes
20180331,FERC,LA,4000,2019,web,https://www.reuters.com/business/energy/tellurian-cuts-driftwood-lng-cost-estimates-by-12-billion-2022-03-02/,Tellurian cuts Driftwood LNG cost estimates,reuters.com,2022-03-02,NA,Tellurian estimates Phase 1 of Driftwood will cost $12.0 billion to $12.8 billion (3 trains)<e2><80><94>use $4B per train; Phase 1 EIS authorized first units.,medium,FALSE,NA,"Driftwood LNG, Calcasieu Parish LA. 27.6 mtpa nameplate. Acquired by Woodside 2024."
20180332,FERC,CA,30,2019,sector_impute_pending,NA,NA,NA,NA,NA,Yuba River Development Project (Narrows 1/2). FERC hydro relicensing for Yuba Water Agency. No new construction.,low,TRUE,Hydro-relicensing-upgrades (~$30M),Yuba County Water Agency. Existing 380 MW Yuba River projects.
20180333,FERC,OR,2000,2019,web_imputed,https://www.power-eng.com/news/swan-lake-north-pumped-storage-project-secures-license-from-ferc/,Swan Lake North Pumped Storage Project secures license,power-eng.com,2019,NA,"393.3 MW pumped storage. Industry standard ~$2,000-3,000/kW for greenfield PSH.",medium,TRUE,Pumped-storage-capex (~$2B for 393 MW),Rye Development project. Klamath County OR.
20180334,FERC,NY,926,2020,web,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/williams-cos-shareholders-approve-northeast-supply-enhancement-pipeline-cancellation-58970245,Williams Northeast Supply Enhancement,spglobal.com,2020,NA,$926 million project; Williams cancelled in 2020 after NY/NJ permit denials.,high,FALSE,NA,Transco NESE pipeline. 26 mi offshore + onshore NJ/NY. Cancelled but EIS issued <e2><80><94> exposure attributable.
20190001,DOE,LA,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Driftwood LNG EIS (20180331).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190003,FERC,LA,13000,2020,web,https://www.sempra.com/sites/default/files/2021-03/Sempra-Energy-2020-Annual-Report.pdf,Sempra Energy 2020 Annual Report <e2><80><94> Port Arthur LNG,sempra.com,2020,NA,Port Arthur LNG Phase 1 estimated ~$13B; FID 2023 at ~$13B for two trains 13.5 mtpa.,high,FALSE,NA,Sempra Port Arthur. FID March 2023. Bechtel EPC.
20190010,USFS,CO,30,2019,sector_impute_pending,NA,NA,NA,NA,NA,"Crested Butte Mountain Resort Ski Area Projects. Lift replacements, terrain expansion, snowmaking. No capex disclosed.",low,TRUE,Ski-resort-on-mountain-improvements (~$30M),Vail Resorts. GMUG NF.
20190013,DOE,LA,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Port Arthur LNG EIS (20190003).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190017,GSA,CA,675,2019,web,https://www.gsa.gov/about-us/newsroom/news-releases/biden-harris-administration-announces-investment-modernize-otay-mesa-land-port-of-entry-08092022,GSA Otay Mesa Land Port of Entry Modernization,gsa.gov,2022-08-09,NA,$675 million investment to modernize Otay Mesa Land Port of Entry; funded via IRA.,high,FALSE,NA,San Diego LPOE expansion + reconfiguration. GSA + CBP.
20190024,BR,WA,400,2019,web_imputed,https://www.kittitascountynews.com/news/article_5e8b9e02-7fa0-11ea-983f-93b91dec1e60.html,Kachess Drought Relief Pumping Plant,kittitascountynews.com,2019,NA,Pumping plant + conveyance to provide drought-year water. Ecology-estimated ~$400M.,medium,TRUE,Major-pumping-station-infrastructure (~$400M),Yakima River basin drought relief. WA Ecology + Reclamation.
20190026,FHWA,ND,190,2019,web_imputed,NA,NA,NA,NA,NA,US 85 four-lane expansion I-94 to Watford City (62 mi). NDDOT phased construction. ~$3M/lane-mile rural sector estimate.,low,TRUE,Rural-4-lane-highway-expansion (~$3M/lane-mi),Bakken oil patch access road. Multiple phases.
20190034,FERC,TX,4500,2019,web_imputed,https://www.lngprime.com/news/texas-lng-cuts-capacity-of-its-brownsville-lng-export-project/41937/,Texas LNG Brownsville Project,lngprime.com,2019,NA,4 mtpa export terminal. Glenfarne project. Industry standard ~$1.0-1.2B/mtpa for greenfield mid-Gulf LNG.,medium,TRUE,LNG-export-greenfield (~$1.1B/mtpa),Brownsville Ship Channel. Reached FID late 2025.
20190037,FHWA,NC,500,2019,web_imputed,NA,NA,NA,NA,NA,I-26 widening I-4400/I-4700 Asheville area. NCDOT phased project. ~22 miles widening.,low,TRUE,Interstate-widening-rural (~$23M/mi),Henderson + Buncombe counties NC. STIP-funded.
20190041,DOE,TX,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Texas LNG EIS (20190034).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190044,BLM,NM,383,2019,web,https://www.mining.com/web/themac-resources-files-feasibility-study-for-copper-flat-project-in-new-mexico/,THEMAC Resources Copper Flat Feasibility Study,mining.com,2013,NA,Total initial capex of $383M for open-pit Cu-Mo mine.,high,FALSE,NA,Sierra County NM. THEMAC Resources Group. Past-producing brownfield.
20190058,FHWA,NY,1700,2020,web,https://www.nyc.gov/office-of-the-mayor/news/430-20/mayor-de-blasio-major-progress-hunts-point-interstate-access-improvement,Mayor de Blasio Major Progress Hunts Point Interstate Access,nyc.gov,2020-06-26,NA,$1.7 billion Hunts Point Interstate Access Improvement Project.,high,FALSE,NA,Bronx NY. NYSDOT + FHWA. Sheridan Blvd reconstruction.
20190062,FERC,FL,720,2019,web_imputed,https://lngprime.com/news/eagle-lng-cancels-jacksonville-lng-export-project/95876/,Eagle LNG cancels Jacksonville LNG export project,lngprime.com,2024,NA,Up to 1.0 mtpa export. Smaller-scale LNG ~$700-800M/mtpa for greenfield.,medium,TRUE,Small-scale-LNG-export (~$700-800M),Eagle LNG. Jacksonville FL. Cancelled 2024.
20190065,FERC,MS,9000,2019,web_imputed,https://www.naturalgasintel.com/news/gulf-lng-secures-export-authorization-following-ferc-environmental-approval/,Gulf LNG secures export authorization,naturalgasintel.com,2019,NA,Brownfield LNG export retrofit. ~10 mtpa nameplate. Brownfield ~$900M/mtpa.,low,TRUE,LNG-brownfield-conversion (~$9B for 10 mtpa),Pascagoula MS. Kinder Morgan. Brownfield import-to-export.
20190069,FERC,TX,1700,2019,web,https://www.bizjournals.com/sanantonio/news/2021/02/19/exclusive-annova-lng-cancels-massive-export-projec.html,Annova LNG cancels massive export project,bizjournals.com,2021-02-19,NA,$1.7B 6 mtpa Annova LNG; Exelon Generation cancelled March 2021.,medium,FALSE,NA,Brownsville TX. Exelon-led. Cancelled but EIS issued <e2><80><94> exposure attributable.
20190070,USFS,ID,30,2019,sector_impute_pending,NA,NA,NA,NA,NA,Crow Creek Pipeline Project. Phosphate slurry/dewatering pipeline serving Itafos Caldwell Canyon mine. Modest infrastructure.,low,TRUE,Mine-support-pipeline (~$30M),Caribou-Targhee NF ID. Itafos.
20190072,DOE,FL,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Eagle LNG Jacksonville EIS (20190062).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190078,FHWA,WV,100,2019,sector_impute_pending,NA,NA,NA,NA,NA,US 340 Improvement Study. Jefferson County WV improvements/bypass. WVDOT.,low,TRUE,Mid-scale-highway-improvement (~$100M),Charles Town vicinity. WVDOH.
20190079,FERC,TX,18000,2023,web,https://www.reuters.com/business/energy/nextdecade-bechtel-sign-15-bln-rio-grande-lng-construction-contract-2023-04-21/,"NextDecade, Bechtel sign Rio Grande LNG construction contract",reuters.com,2023-04-21,NA,Construction contract ~$12B Phase 1 (3 trains); Train 4 + 5 ~$6B add'l. Phase 2 expansion authorized.,high,FALSE,NA,"NextDecade Rio Grande LNG, Brownsville TX. Phase 1 FID July 2023."
20190083,DOE,MS,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Gulf LNG Liquefaction EIS (20190065).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190084,DOE,TX,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Annova LNG EIS (20190069).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190085,FERC,AK,45,2019,web_imputed,NA,NA,NA,NA,NA,Grant Lake Hydroelectric (~5 MW). Kenai Hydro/HEA project. Small hydro ~$8-10M/MW.,low,TRUE,Small-hydro-greenfield (~$45M),Kenai Peninsula AK. Homer Electric Association subsidiary.
20190090,BR,CA,0,2019,reclassified_to_ii,NA,NA,NA,NA,NA,Central Valley Project Water Supply Contracts Conversion: contract conversion under WIIN Act. No construction. Administrative action.,high,FALSE,NA,RECLASSIFY (ii). Update classifier to flag 'contract conversion'/'contract renewal' patterns.
20190091,FERC,LA,20000,2022,web,https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/lng/070522-venture-global-lng-orders-supplies-for-plaquemines-phase-2-expansion-from-baker-hughes,Venture Global Plaquemines LNG,spglobal.com,2022,NA,20 mtpa export + Gator Express pipeline. Industry estimate ~$20B all-in for Phases 1+2.,high,FALSE,NA,Venture Global Plaquemines. FID May 2022 Phase 1; Phase 2 FID 2023. First LNG Dec 2024.
20190095,FHWA,SC,2300,2024,web,https://www.scdot.org/inside/pdfs/projects/Carolina_Crossroads_Fact_Sheet.pdf,SCDOT Carolina Crossroads Fact Sheet,scdot.org,2024,NA,$2.3 billion total program for I-20/I-26/I-126 corridor in Columbia SC.,high,FALSE,NA,SCDOT. Multi-phase reconstruction Columbia SC. Largest single project in SCDOT history.
20190096,DOE,TX,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Rio Grande LNG EIS (20190079).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190100,USFS,NV,24,2019,web,https://www.fs.usda.gov/nfs/11558/www/nepa/108957_FSPLT3_5018252.pdf,Mt. Rose Ski Tahoe Atoma Area Expansion ROD,fs.usda.gov,2019,NA,Total project capex stated $23.5M (lift + terrain + snowmaking).,high,FALSE,NA,Humboldt-Toiyabe NF NV. POWDR Corp.
20190103,BLM,ID,300,2019,web_imputed,https://itafos.com/wp-content/uploads/2019/06/Itafos-Investor-Presentation-June-2019-FINAL.pdf,Itafos Investor Presentation June 2019,itafos.com,2019,NA,Caldwell Canyon Mine ~30-year reserve. Construction + dev capex ~$300M (royalty payable ~$120M).,low,TRUE,Phosphate-mine-greenfield (~$300M),Soda Springs ID. Itafos. Replaces depleted Conda mine ore.
20190114,DOE,LA,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Plaquemines LNG EIS (20190091).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
20190116,FRA,VA,5000,2019,web_imputed,https://www.virginiapassengerrailauthority.com/our-projects/dc2rva/,VPRA DC to Richmond Project,virginiapassengerrailauthority.com,2019,NA,Tier II EIS for 123-mi DC-Richmond corridor improvements. Industry estimates $4-8B for full Build.,low,TRUE,Higher-speed-rail-corridor (~$5B),FRA + VPRA. Federally-funded portions only; full corridor will phase via state/federal mix.
20190120,BIA,WI,405,2019,web,https://www.bia.gov/sites/default/files/dup-assets/idc1-101751.pdf,Beloit Casino Project ROD,bia.gov,2019,NA,$405 million Beloit Casino project (Phase 1).,high,FALSE,NA,Ho-Chunk Nation off-reservation fee-to-trust. Beloit WI.
20190121,BIA,CA,250,2019,web_imputed,NA,NA,NA,NA,NA,Tule River Indian Tribe Fee-to-Trust + Eagle Mountain Casino relocation. Mid-size tribal casino ~$200-300M.,low,TRUE,Mid-size-tribal-casino (~$250M),Tulare County CA. Tule River.
20190129,BLM,NV,50,2019,sector_impute_pending,NA,NA,NA,NA,NA,Rossi Mine Expansion (Barrick). Underground/pit expansion at existing mine. No standalone capex disclosed.,low,TRUE,Mine-expansion-modest (~$50M),Elko County NV. Nevada Gold Mines/Barrick.
20190131,BLM,NV,50,2019,sector_impute_pending,NA,NA,NA,NA,NA,Gemfield Mine Project. Goldfield NV gold exploration/development. Modest greenfield.,low,TRUE,Small-gold-mine-development (~$50M),Esmeralda County NV. Waterton/Gemfield Resources.
20190144,FHWA,ND,80,2019,web_imputed,NA,NA,NA,NA,NA,Little Missouri River Crossing. New bridge crossing in Bakken oil patch. Sector estimate ~$80M for major rural river crossing.,low,TRUE,Rural-river-crossing-bridge (~$80M),Billings County ND. NDDOT.
20190152,BLM,OR,0,2019,duplicate_of_other_eis,NA,NA,NA,NA,NA,BLM adoption of FERC Swan Lake North Pumped Storage EIS (20180333).,high,FALSE,NA,Adoption <e2><80><94> primary EIS attributed to FERC.
