eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes,naics_code,naics_label,naics_reason,title
20140385,BLM,NV,300,2015,web_imputed,NA,NA,NA,NA,NA,Long Canyon Mine. Newmont open-pit gold. Phase 1 capex ~$300M.,medium,FALSE,NA,Elko County NV. Newmont.,212,Mining (except oil & gas),mining / mineral extraction,Long Canyon Mine
20150016,FHWA,FL,100,2015,sector_impute_pending,NA,NA,NA,NA,NA,SR 997 / Krome Avenue South Miami-Dade. FDOT corridor improvements.,low,TRUE,Suburban-arterial-widening (~$100M),Miami-Dade FL. FDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"SR 997/SW 177th Avenue/Krome Avenue South, Contact: Cathy Kendall 850-553-2225. Under MAP-21 section 1319, FTA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20150024,FHWA,ME,90,2015,sector_impute_pending,NA,NA,NA,NA,NA,I-395 / Route 9 Transportation System Brewer ME. New 4-mi connector. MaineDOT.,low,TRUE,Connector-highway-rural (~$90M),Brewer ME. MaineDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,I-395/Route 9 Transportation System
20150035,FHWA,TX,300,2015,sector_impute_pending,NA,NA,NA,NA,NA,US 69 / Loop 49 North Lindale Reliever Route. TxDOT new 18-mi rural reliever.,low,TRUE,Rural-reliever-route (~$300M),Smith County TX. TxDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"US 69/Loop 49 North Lindale Reliever Route, from IH 20 Southwest of Lindale to US 69 North of Lindale"
20150050,USA,CA,400,2015,sector_impute_pending,NA,NA,NA,NA,NA,Piers 2 and 3 Modernization Military Ocean Terminal Concord. Army marine terminal recap.,low,TRUE,Military-marine-terminal-recap (~$400M),Concord CA. Army Surface Deployment & Distribution.,236,Construction of buildings,federal construction / military beddown,The Modernization and Repair of Piers 2 and 3 at Military Ocean Terminal Concord
20150052,FTA,CA,360,2015,web_imputed,NA,NA,NA,NA,NA,Redlands Passenger Rail (Arrow). 9-mi diesel commuter rail. ~$360M project. SBCTA + Metrolink.,high,FALSE,NA,Redlands-San Bernardino CA. Opened 2022.,485,Transit & ground passenger transportation,transit / light rail / bus terminal,"Redlands Passenger Rail Project, Contact: Dominique Paukowits, 415-744-2735. Under MAP-21 Section 1319, FTA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20150064,USACE,FL,400,2015,web_imputed,NA,NA,NA,NA,NA,Port Everglades Harbor Navigation. USACE deepening + widening. Federal share ~$400M.,high,FALSE,NA,Broward County FL. USACE Jacksonville District.,488,Support activities for water transportation,water transportation infrastructure,Port Everglades Harbor Navigation
20150077,USFS,CO,30,2015,sector_impute_pending,NA,NA,NA,NA,NA,Eldora Mountain Resort Ski Area Projects. Lifts + terrain expansion.,low,TRUE,Small-ski-resort-expansion (~$30M),Boulder County CO. Eldora (POWDR).,713,"Amusement, gambling, recreation",USFS recreation / ski,Eldora Mountain Resort Ski Area Projects
20150082,BR,CA,0,2015,duplicate_of_other_eis,NA,NA,NA,NA,NA,"Long-term Water Transfers (BR/SLDMWA). Original 2015 Final NOA <e2><80><94> superseded by 2019 re-noticed Final (same eis_number, cal_year 2019). Underlying program reclassified to (ii).",high,FALSE,NA,Same eis_number has TWO Final NOAs (2015 + 2019). Canonical attribution at 2019 panel; this row kept at $0 for coverage completeness.,2213,"Water, sewage, & other systems",Bureau of Reclamation = water,"Long-term Water Transfers, Contact: Russ Grimes 916-978-5051. Revision to FR Notice Published 03/27/2015; Officially Withdrawn per request of the submitting agency. Dated: October 8, 2019. Cindy S. Barger, Acting Director, Office of Federal Activities. [FR Doc. 2019-22293 Filed 10-10-19; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20150085,FTA,WA,2900,2015,web_imputed,NA,NA,NA,NA,NA,Lynnwood Link Extension. Sound Transit 8.5-mi LRT. $2.9B final cost.,high,FALSE,NA,Snohomish County WA. Sound Transit. Opens 2024.,485,Transit & ground passenger transportation,transit / light rail / bus terminal,Lynnwood Link Extension
20150091,CALTRANS,CA,1000,2015,sector_impute_pending,NA,NA,NA,NA,NA,I-405 Sepulveda Pass Improvement. Caltrans HOV lanes + interchanges. Phase work ~$1B+ federal portion (full project >$1.6B with Metro).,medium,TRUE,Urban-interstate-HOV-add (~$1B),Los Angeles CA. Caltrans + LA Metro.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,San Diego Freeway [[Page 18227]] (I-405) Improvement Project
20150092,BOP,KS,400,2015,sector_impute_pending,NA,NA,NA,NA,NA,Leavenworth FCI and Federal Prison Camp. BOP new federal correctional + prison camp.,low,TRUE,BOP-federal-prison-mid (~$400M),Leavenworth KS. BOP.,236,Construction of buildings,BOP = federal prison construction,Leavenworth Federal Correctional Institution and Federal Prison Camp
20150094,FERC,AL,0,2015,reclassified_to_ii,NA,NA,NA,NA,NA,Martin Dam Hydroelectric Project No. 349-173 (relicensing). Existing dam relicense.,high,FALSE,NA,RECLASSIFY (ii). Hydro relicensing.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,"Martin Dam Hydroelectric Project, FERC Project No. 349-173"
20150114,FHWA,CA,1800,2015,web_imputed,NA,NA,NA,NA,NA,Mid County Parkway. RCTC new 16-mi corridor Perris-San Jacinto. ~$1.8B program.,medium,TRUE,New-arterial-corridor (~$1.8B for 16 mi),Riverside County CA. RCTC.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,Mid County Parkway
20150116,DOE,TX,0,2015,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Cheniere Corpus Christi LNG EIS (pre-window FERC EIS).,high,FALSE,NA,Adoption <e2><80><94> underlying FERC EIS pre-dates panel.,9281,National security,national security default,"ADOPTION--Corpus Christi Liquefied Natural Gas (LNG) Project, Contact: John Anderson 202-586- 0521. The U.S. Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's FEIS #20140302, filed with the U.S. EPA on 10/ 08/2014. DOE was a cooperating agency on the project and recirculation of the document is not necessary under Section 1506.3(c) of the CEQ Regulations. Dated: April 21, 2015. Cliff Rader, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2015-09611 Filed 4-23-15; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20150121,BLM,WY,3000,2015,web_imputed,NA,NA,NA,NA,NA,TransWest Express Transmission. Anschutz Corp. ~730-mi 600kV DC WY-NV. ~$3B project.,high,FALSE,NA,WY to NV via UT/CO. Construction now underway.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,TransWest Express Transmission Project
20150131,FHWA,TX,200,2015,sector_impute_pending,NA,NA,NA,NA,NA,US 281 Texas widening/upgrade. TxDOT corridor improvement.,low,TRUE,Rural-highway-upgrade (~$200M),Texas. TxDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"US 281, Review Period Ends: 06/22/ 2015, Contact: Carlos Swonke 512 416-2734."
20150153,STB,UT,124,2015,web,https://utahrails.net/utahrails/six-county.html,Central Utah Rail Project,utahrails.net,2015,NA,$124 million 43-mi rail Levan-Salina UT. STB construction exemption effective Oct 2015.,high,FALSE,NA,Six County Association of Governments. SUFCO coal mine access.,482,Rail transportation,no rule matched,Six County Association of Governments Construction and Operation between Levan and Salina
20150163,BLM,CA,700,2015,web_imputed,NA,NA,NA,NA,NA,Soda Mountain Solar Project. Bechtel ~358 MW utility solar BLM CA Desert. Project cancelled but FEIS issued.,medium,FALSE,NA,San Bernardino County CA. BrightSource Energy.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,Soda Mountain Solar Project Proposed Plan Amendment
20150181,USACE,CA,0,2015,duplicate_of_other_eis,NA,NA,NA,NA,NA,USACE adoption of CALTRANS/FHWA I-5 North Coast Corridor EIS.,high,FALSE,NA,Adoption <e2><80><94> primary CALTRANS.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"Adoption--Interstate 5 North Coast Corridor Project, Contact: Stephanie J. Hall 213-452-3410. The U.S. Department of the Army's Corps of Engineers (USACE) has adopted the U.S. Department of Transportation's Federal Highway Administration's FEIS #20130332, filed 11/15/2013. The USACE was a cooperating agency on the project. Recirculation of the document is not necessary under 1506.3(b) of the CEQ Regulations. Dated: June 29, 2015. Dawn Roberts, Management Analyst, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2015-16329 Filed 7-1-15; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20150188,USACE,SC,580,2015,web_imputed,NA,NA,NA,NA,NA,Charleston Harbor Post 45 Deepening. USACE harbor to -52 ft MLLW. Federal share ~$580M.,high,FALSE,NA,Charleston SC. USACE Charleston District.,488,Support activities for water transportation,water transportation infrastructure,Charleston Harbor Post 45
20150202,FHWA,LA,0,2015,duplicate_of_other_eis,NA,NA,NA,NA,NA,Adoption of LADOTD I-12 to Bush highway EIS.,high,FALSE,NA,Adoption.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"ADOPTION--I-12 to Bush, Louisiana Proposed Highway, review period ends: 08/24/2015, Contact: Carl Highsmith 225-757-7615. The U.S. Department of Transportation's Federal Highway Administration (FHWA) and Louisiana Department of Transportation has adopted the U.S. Army Corps of Engineers' final EIS #20120055, filed 02/29/2012 with EPA. The FHWA was not a cooperating agency for the above EIS. Therefore recirculation of the EIS is necessary under the CEQ Regulations Section 1506.3. Dated: July 21, 2015. Dawn Roberts, Management Analyst, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2015-18204 Filed 7-23-15; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20150204,BOP,KY,0,2015,duplicate_of_other_eis,NA,NA,NA,NA,NA,Letcher County BOP USP/FPC (earlier filing of 20160066 same project).,high,FALSE,NA,Same project as 20160066. Cost attributed to 20160066 ($510M). Zeroed here to avoid double-count.,236,Construction of buildings,BOP = federal prison construction,U.S. Penitentiary and Federal Prison Camp
20150220,FHWA,ID,80,2015,sector_impute_pending,NA,NA,NA,NA,NA,US-95 Thorncreek Rd to Moscow ID. ITD realignment ~6 mi.,low,TRUE,Rural-highway-realign (~$80M),Latah County ID. ITD.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,US-95 Thorncreek Road to Moscow
20150222,BR,CA,1400,2015,web_imputed,NA,NA,NA,NA,NA,Shasta Lake Water Resources Investigation. BR dam raise study. $1.4B project. Not constructed but FEIS issued.,medium,FALSE,NA,Shasta County CA. Reclamation. Authorization pending; counted at full FEIS-stage capex.,2213,"Water, sewage, & other systems",Bureau of Reclamation = water,Shasta Lake Water Resources Investigation
20150224,USFS,CO,20,2015,sector_impute_pending,NA,NA,NA,NA,NA,Breckenridge Multi-Season Recreation Projects. White River NF. Modest year-round resort capex.,low,TRUE,Ski-resort-multi-season-mod (~$20M),Summit County CO. Vail Resorts.,713,"Amusement, gambling, recreation",USFS recreation / ski,Breckenridge Multi-Season Recreation Projects
20150225,FRA,FL,4000,2015,web_imputed,NA,NA,NA,NA,NA,All Aboard Florida Intercity Passenger Rail Orlando-Miami (Brightline). $4B Orlando extension + initial Miami segment.,high,FALSE,NA,Brightline Trains FL. Orlando-Miami in service 2023.,482,Rail transportation,"rail (FRA, Amtrak, freight)","All Aboard Florida Intercity Passenger Rail Project, Orlando to Miami, Florida"
20150233,FERC,LA,11000,2015,web_imputed,NA,NA,NA,NA,NA,Lake Charles Liquefaction Project. Energy Transfer / Shell. ~16.45 mtpa. ~$11B project. FID pending.,high,FALSE,NA,Lake Charles LA. Energy Transfer (was Shell).,2211,Electric power generation/transmission/distribution,FERC default = electric power,Lake Charles Liquefaction Project
20150246,FHWA,IA,50,2015,sector_impute_pending,NA,NA,NA,NA,NA,Eastern Hills Drive and Connecting Roadways Iowa. Modest connector project.,low,TRUE,Urban-connector-mod (~$50M),Iowa DOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,Eastern Hills Drive and Connecting Roadways
20150259,FRA,NC,4000,2015,web_imputed,NA,NA,NA,NA,NA,Southeast HSR Richmond-Raleigh Tier II. ~162 mi conventional HSR upgrade. FRA estimate ~$4B.,medium,FALSE,NA,VA-NC. NCDOT + VPRA + FRA.,482,Rail transportation,high-speed rail,"Southeast High Speed Rail, Richmond, VA, to Raleigh, NC"
20150260,BR,CA,0,2015,reclassified_to_ii,NA,NA,NA,NA,NA,"CVP Municipal & Industrial Water Shortage Policy. Operational allocation policy, no construction.",high,FALSE,NA,RECLASSIFY (ii). Water allocation policy.,2213,"Water, sewage, & other systems",Bureau of Reclamation = water,Central Valley Project Municipal and Industrial Water Shortage Policy
20150264,FHWA,TN,130,2015,sector_impute_pending,NA,NA,NA,NA,NA,Pellissippi Parkway Extension SR 162. TDOT new alignment.,low,TRUE,Suburban-arterial-extension (~$130M),Blount County TN. TDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,Pellissippi Parkway Extension (State Route 162) from State Route 33 (Old Knoxville Highway) to US 321/State Route 73/Lamar Alexander Parkway
20150265,BR,CA,100,2015,sector_impute_pending,NA,NA,NA,NA,NA,North Valley Regional Recycled Water Program. Modesto / Turlock recycled water pipeline.,low,TRUE,Recycled-water-program (~$100M),Modesto-Turlock CA. Modesto-Turlock-Del Puerto JPA.,2213,"Water, sewage, & other systems",Bureau of Reclamation = water,"North Valley Regional Recycled Water Program, review period ends: 10/26/2015, Contact: Rain Emerson 559-487- 5196."
20150269,FHWA,NY,7200,2015,web,https://www.panynj.gov/port/en/our-port/port-development/cross-harbor-freight-program.html,Cross Harbor Freight Program (Port Authority),panynj.gov,2015,NA,Rail tunnel alternative estimated $7.2 billion in Tier 1 FEIS.,high,FALSE,NA,NJ-Brooklyn freight rail tunnel. Tier 1 FEIS issued. Project not advanced.,488,Support activities for water transportation,water transportation infrastructure,"Cross Harbor Freight Program, review period ends: 10/26/2015, Contact: Peter Osborn 518-431-4127."
20150270,FHWA,MN,240,2015,web_imputed,NA,NA,NA,NA,NA,US Highway 53 Virginia to Eveleth MN. MnDOT relocation over Rouchleau Pit. ~$240M project.,high,FALSE,NA,Iron Range MN. MnDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"US Highway 53 from Virginia to Eveleth Minnesota, Contact: Philip Forst 651-291-6110. Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30- day wait/review period under NEPA does not apply to this action."
20150280,FTA,WA,700,2015,sector_impute_pending,NA,NA,NA,NA,NA,Link Light Rail Operations & Maintenance Facility (East). Sound Transit. LRT maintenance facility.,low,TRUE,Transit-O&M-facility (~$700M),Bellevue WA. Sound Transit.,485,Transit & ground passenger transportation,transit / light rail / bus terminal,Link Light Rail Operations and Maintenance Facility
