eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes,naics_code,naics_label,naics_reason,title
20160001,FHWA,CO,1300,2018,web_imputed,NA,NA,NA,NA,NA,I-70 East (Central 70) Denver. CDOT design-build. ~$1.3B project (10-mi widening + lowered freeway).,high,FALSE,NA,Denver. CDOT. Kiewit Meridiam Partners. Opened 2022.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,I-70 East Project
20160010,FHWA,UT,80,2016,sector_impute_pending,NA,NA,NA,NA,NA,1800 North (SR-37) Project. UDOT corridor widening Davis County.,low,TRUE,Suburban-arterial-widening (~$80M),Davis County UT. UDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"1800 North (SR-37) Project, Contact: Paul Ziman 801-955-3525 Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Amended Notices"
20160012,FHWA,LA,1500,2016,sector_impute_pending,NA,NA,NA,NA,NA,Baton Rouge Loop Tier 1. New ~30-mi outer beltway program. Tier 1 selected corridor preserved.,low,TRUE,New-beltway-program (~$1.5B Tier 1 scale),Baton Rouge LA. DOTD + Capital Area Expressway Authority.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,Baton Rouge Loop Tier 1
20160016,FHWA,TX,400,2016,sector_impute_pending,NA,NA,NA,NA,NA,SH 249 Extension TX. New 38-mi toll segment Pinehurst-Navasota. TxDOT.,medium,TRUE,New-rural-tollway (~$400M),Houston-area TX. TxDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"SH 249 Extension, Contact: Carlos Swonke 512-416-2734, Under MAP-21 Section 1319 FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20160028,FHWA,WI,1200,2016,sector_impute_pending,NA,NA,NA,NA,NA,I-94 East-West Corridor (70th-16th) Milwaukee. WisDOT 3.5-mi urban interstate reconstruction.,medium,TRUE,Urban-interstate-recon (~$1.2B),Milwaukee WI. WisDOT. Construction late 2024.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,I-94 East-West Corridor (70th St-- 16th St) Project
20160029,BPA,WA,400,2016,sector_impute_pending,NA,NA,NA,NA,NA,I-5 Corridor Reinforcement transmission. BPA 500kV ~75-mi WA-OR. Project paused 2017.,low,TRUE,500kV-transmission-mid (~$400M),BPA. Paused/cancelled mid-2017 but FEIS issued.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,I-5 Corridor Reinforcement Project
20160041,FTA,NC,2400,2016,web_imputed,NA,NA,NA,NA,NA,Durham-Orange Light Rail. 17.7-mi LRT GoTriangle. Cost estimate $2.4B. Cancelled March 2019 but FEIS issued.,high,FALSE,NA,Durham-Chapel Hill NC. GoTriangle. Cancelled 2019.,485,Transit & ground passenger transportation,transit / light rail / bus terminal,"Durham-Orange Light Rail, Contact: Stanley A. Mitchell 404-865-5600, Under MAP 21 section 1319, FTA has issued a Final EIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20160045,TVA,TN,0,2016,reclassified_to_ii,NA,NA,NA,NA,NA,TVA Floating Houses Policy Review EIS. Operational policy on existing structures. No construction.,high,FALSE,NA,"RECLASSIFY (ii). Policy review, not capex.",2211,Electric power generation/transmission/distribution,TVA = electric utility,Floating Houses Policy Review
20160048,USAF,AK,550,2016,sector_impute_pending,NA,NA,NA,NA,NA,F-35A Operational Beddown Pacific (Eielson AFB). 54 aircraft beddown MILCON.,low,TRUE,F-35-beddown-MILCON (~$550M),Eielson AFB AK. USAF.,481,Air transportation,air / aviation / airfield / aircraft beddown,United States Air Force F-35A Operational Beddown-Pacific
20160049,DOE,NM,0,2016,reclassified_to_ii,NA,NA,NA,NA,NA,Disposal of GTCC Low-Level Radioactive Waste PEIS. Programmatic <e2><80><94> no specific facility authorized.,high,FALSE,NA,RECLASSIFY (ii). Programmatic.,9281,National security,national security default,Disposal of Greater-than-Class-C (GTCC) Low-Level Radioactive Waste and GTCC-Like Waste
