eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes
20140385,BLM,NV,300,2015,web_imputed,NA,NA,NA,NA,NA,Long Canyon Mine. Newmont open-pit gold. Phase 1 capex ~$300M.,medium,FALSE,NA,Elko County NV. Newmont.
20150016,FHWA,FL,100,2015,sector_impute_pending,NA,NA,NA,NA,NA,SR 997 / Krome Avenue South Miami-Dade. FDOT corridor improvements.,low,TRUE,Suburban-arterial-widening (~$100M),Miami-Dade FL. FDOT.
20150024,FHWA,ME,90,2015,sector_impute_pending,NA,NA,NA,NA,NA,I-395 / Route 9 Transportation System Brewer ME. New 4-mi connector. MaineDOT.,low,TRUE,Connector-highway-rural (~$90M),Brewer ME. MaineDOT.
20150035,FHWA,TX,300,2015,sector_impute_pending,NA,NA,NA,NA,NA,US 69 / Loop 49 North Lindale Reliever Route. TxDOT new 18-mi rural reliever.,low,TRUE,Rural-reliever-route (~$300M),Smith County TX. TxDOT.
20150050,USA,CA,400,2015,sector_impute_pending,NA,NA,NA,NA,NA,Piers 2 and 3 Modernization Military Ocean Terminal Concord. Army marine terminal recap.,low,TRUE,Military-marine-terminal-recap (~$400M),Concord CA. Army Surface Deployment & Distribution.
20150052,FTA,CA,360,2015,web_imputed,NA,NA,NA,NA,NA,Redlands Passenger Rail (Arrow). 9-mi diesel commuter rail. ~$360M project. SBCTA + Metrolink.,high,FALSE,NA,Redlands-San Bernardino CA. Opened 2022.
20150064,USACE,FL,400,2015,web_imputed,NA,NA,NA,NA,NA,Port Everglades Harbor Navigation. USACE deepening + widening. Federal share ~$400M.,high,FALSE,NA,Broward County FL. USACE Jacksonville District.
20150077,USFS,CO,30,2015,sector_impute_pending,NA,NA,NA,NA,NA,Eldora Mountain Resort Ski Area Projects. Lifts + terrain expansion.,low,TRUE,Small-ski-resort-expansion (~$30M),Boulder County CO. Eldora (POWDR).
20150082,BR,CA,0,2015,duplicate_of_other_eis,NA,NA,NA,NA,NA,"Long-term Water Transfers (BR/SLDMWA). Original 2015 Final NOA <e2><80><94> superseded by 2019 re-noticed Final (same eis_number, cal_year 2019). Underlying program reclassified to (ii).",high,FALSE,NA,Same eis_number has TWO Final NOAs (2015 + 2019). Canonical attribution at 2019 panel; this row kept at $0 for coverage completeness.
20150085,FTA,WA,2900,2015,web_imputed,NA,NA,NA,NA,NA,Lynnwood Link Extension. Sound Transit 8.5-mi LRT. $2.9B final cost.,high,FALSE,NA,Snohomish County WA. Sound Transit. Opens 2024.
