Gross Output by Industry
Gross Output by Industry
"Last Revised on: April 9, 2026"
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"        Government enterprises",130.2,134.8,141.2,146.9,152.2,160.5,170.5,182.4,195.8,212.0,223.4,240.5,256.4,273.2,286.5,298.6,311.3,322.6,332.3,341.0,354.2,372.4,382.4,348.7,395.5,445.4,465.4,498.3,535.9
,"    Addenda:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"            Private goods-producing industries1",5042.0,5144.5,5325.2,5666.7,5484.2,5379.9,5612.5,6126.3,6786.8,7195.1,7570.0,7756.0,6356.2,6902.2,7647.0,7916.3,8229.3,8489.7,7994.8,7790.9,8166.3,8739.1,8670.3,8043.6,9444.5,10869.3,10894.1,10986.4,11136.5
99,"            Private services-producing industries2",8685.9,9342.2,10113.4,11008.0,11319.9,11577.9,12185.2,13083.4,14107.1,14952.4,15746.2,16146.1,15374.7,16239.4,17037.4,17924.6,18728.0,19808.9,20667.9,21455.3,22554.3,23823.5,24859.2,24403.4,27804.5,30829.0,32511.4,34322.7,36198.8
100,"            Information-communications-technology-producing industries3",993.7,1087.4,1224.4,1375.3,1320.0,1249.0,1239.6,1274.0,1337.2,1411.3,1471.7,1522.5,1456.4,1532.2,1617.7,1685.1,1753.6,1854.0,1929.4,2064.0,2171.3,2324.8,2417.5,2525.1,2813.8,3050.1,3161.3,3340.1,---

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
Note. Detail may not add to total due to rounding.
